,Municípios com 50 mil ou mais habitantes,Código CNAE 2.0,Seções e divisões da classificação de atividades ,Número de unidades locais,Pessoal ocupado Total,Pessoal ocupado Assalariado,Pessoal assalariado médio,Salários e outras remunerações (1 000 R$),Salário médio  mensal  (salários mínimos)    ,Salário médio  mensal  (R$) 
2,Alfenas - MG,A,"Agricultura, pecuária, produção florestal, pesca e aquicultura",72,918,794,858.06,23740.158,1.755982,2128.24977274317
6,Alfenas - MG,B,Indústrias extrativas,9,0,0,0.0,0.0,2.095613,0.0
12,Alfenas - MG,C,Indústrias de transformação,288,2528,2176,2244.52,77684.519,2.196671,2662.36533012369
37,Alfenas - MG,D,Eletricidade e gás,1,0,0,0.0,0.0,0.0,0.0
39,Alfenas - MG,E,"Água, esgoto, atividades de gestão de resíduos e descontaminação",5,68,65,64.83,2101.125,2.056979,2493.05876908838
44,Alfenas - MG,F,Construção,251,1322,921,740.26,24127.04,2.068587,2507.12743339658
48,Alfenas - MG,G,Comércio; reparação de veículos automotores e motocicletas,1528,7334,5566,5630.63,146946.894,1.65637,2007.52086902695
52,Alfenas - MG,H,"Transporte, armazenagem e correio",140,1132,969,983.48,27994.231,1.806579,2189.57414956622
58,Alfenas - MG,I,Alojamento e alimentação,229,1237,948,901.37,16937.743,1.192632,1445.47001530149
61,Alfenas - MG,J,Informação e comunicação,132,426,245,248.75,6899.691,1.760437,2133.65009663703
68,Alfenas - MG,K,"Atividades financeiras, de seguros e serviços relacionados",123,546,327,311.07,21528.396,4.392458,5323.65853839477
72,Alfenas - MG,L,Atividades imobiliárias,119,336,87,95.09,2122.437,1.416622,1716.94588931943
74,Alfenas - MG,M,"Atividades profissionais, científicas e técnicas",302,900,462,425.37,13554.258,2.022381,2451.12544553972
82,Alfenas - MG,N,Atividades administrativas e serviços complementares,290,1100,796,780.95,21970.224,1.785522,2164.05305175649
89,Alfenas - MG,O,"Administração pública, defesa e seguridade social",16,3023,3022,3322.99,124036.389,2.369049,2871.28781377846
91,Alfenas - MG,P,Educação,149,2516,2322,2330.41,210770.024,5.740246,6957.17868067455
93,Alfenas - MG,Q,Saúde humana e serviços sociais,463,3339,2606,2613.6,80217.626,1.947981,2360.95294436204
97,Alfenas - MG,R,"Artes, cultura, esporte e recreação",66,160,77,72.85,1407.245,1.22601,1485.92471358429
102,Alfenas - MG,S,Outras atividades de serviços,248,716,397,356.89,7505.431,1.334736,1617.69970061881
106,Alfenas - MG,U,Organismos internacionais e outras instituições extraterritoriais,0,0,0,0.0,0.0,0.0,0.0
